Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1967   44.3   76.0   49.1   35.6  138.7   33.3   48.0   67.8   81.7  143.2   56.4   64.5   215.1   223.4   149.1   281.3   838.6
1968   70.8   36.3   48.4   63.2   78.8   76.3  110.2   57.9  128.3   71.5   69.3   59.2   171.5   190.4   244.4   269.0   870.1
1969   74.8   64.9   68.5   56.5  125.1   45.0   58.2   75.9   34.7   14.4  103.9   71.0   198.9   250.1   179.1   153.1   793.0
1970   87.3   72.6   57.9   81.6   21.4   44.0   60.1   85.7   47.6   43.8  147.4   36.9   230.9   160.8   189.8   238.9   786.3
1971   91.1   29.0   56.8   56.3   45.4   85.8   41.4  108.7   24.8   70.3   72.9   33.9   157.0   158.5   235.9   168.0   716.3
1972   86.1   64.1   73.2   54.1   68.1   67.7   54.7   35.8   44.7   30.9   75.9   94.2   184.1   195.5   158.2   151.5   749.7
1973   36.9   36.4   20.9   65.3   75.3   67.5   99.4   49.8   59.0   46.9   42.7   52.0   167.5   161.6   216.6   148.6   652.2
1974   96.4   83.0   39.5   10.2   33.6   61.6   69.8   81.8  113.9   71.9   95.6   56.7   231.5    83.2   213.2   281.4   813.9
1975   87.0   27.6   73.0   59.5   36.3   15.4   61.3   43.5   72.3   27.6   48.6   45.0   171.3   168.7   120.2   148.6   597.1
1976   53.1   34.3   38.8   16.3   64.3   17.4   25.4   30.8  144.2  122.2   50.5   80.8   132.4   119.4    73.6   316.9   678.1
1977   83.2  141.4   58.8   49.1   45.0   95.8   16.7   92.3   30.1   48.5   86.5   77.1   305.4   152.9   204.9   165.1   824.6
1978   91.4   57.4   62.6   42.8   38.8   60.8   76.7   61.9   52.2   14.2   45.6  149.2   225.9   144.2   199.4   112.1   753.6
1979   68.2   54.2  110.0   64.3  115.3   29.8   26.1   82.1   32.7   58.0   71.1  138.5   271.5   289.7   138.0   161.8   850.3
1980   67.1   83.2   89.5   15.6   29.4  111.8   60.5   91.3   61.3  110.5   72.5   57.9   288.8   134.5   263.5   244.3   850.5
1981   52.7   53.2  130.5   63.6   81.1   38.0   35.6   54.0  127.7   90.8   54.6   78.4   163.8   275.2   127.6   273.1   860.3
1982   60.7   33.4   94.2   24.7   32.6  133.6   28.3   83.2   71.2   73.6   96.5   76.6   172.5   151.6   245.1   241.3   808.6
1983   80.0   30.2   55.3  107.7  111.6   21.9   43.8   27.2   89.2   64.7   42.6   94.9   186.7   274.6    92.9   196.5   769.1
1984  114.1   51.8   55.6    8.7   58.7   44.8   18.3   62.1  104.3   74.4  127.1   54.5   260.8   123.0   125.1   305.7   774.2
1985   55.6   28.5   50.1   61.5   72.2   95.1   62.1   85.9   28.8   46.4   66.3  101.6   138.5   183.8   243.1   141.5   754.1
1986  108.1   16.7   65.7   82.8   79.7   37.3   42.8  115.4   17.0   77.5   95.0  113.2   226.5   228.2   195.5   189.4   851.1
1987   24.1   45.0   76.0   61.1   41.2  112.5   56.4   60.5   54.2  134.1   64.5   44.0   182.3   178.3   229.4   252.7   773.5
1988  124.1   53.6   87.4   34.9   51.8   45.6  120.4   71.5   47.3   68.5   39.2   36.2   221.7   174.1   237.5   155.0   780.5
1989   34.0   67.6   67.9   91.5   25.0   54.9   42.5   45.7   35.9   82.8   50.3  127.7   137.7   184.4   143.0   169.0   725.7
1990  107.0  112.6   20.3   32.0   17.6   61.0   28.6   37.7   42.8   90.7   47.6   85.6   347.4    69.9   127.2   181.1   683.5
1991   75.9   49.0   59.6   63.0   11.4   80.1   71.8   21.2   55.4   54.2   77.0   42.3   210.4   134.0   173.1   186.6   660.9
1992   58.8   33.5   69.3   55.9   58.2   45.6   87.6  119.3   83.3   74.5  113.9   64.0   134.6   183.3   252.5   271.7   863.9
1993   87.4    9.9   17.3   83.4   77.2   64.6   77.8   44.7  101.3   75.4   60.7  132.7   161.3   177.9   187.2   237.5   832.5
1994   95.7   67.7   72.4   57.1   56.6   25.3   42.1   55.7  113.6   70.7   75.8  109.6   296.1   186.1   123.2   260.1   842.4
1995  131.3   87.8   54.2   21.4   47.7   14.9   30.1    8.3   97.7   38.2   65.2   77.2   328.6   123.2    53.2   201.1   673.8
1996   45.0   66.7   38.8   48.1   44.3   29.5   36.9   68.7   23.1   65.6   95.4   55.3   189.0   131.2   135.1   184.0   617.3
1997   12.1   89.6   24.0   27.4   75.7  119.6   46.9   86.1   28.2   59.2   88.4   76.3   156.9   127.1   252.6   175.8   733.4
1998   95.4   17.6   84.4  117.0   23.9  119.0   40.0   46.6   81.7  140.6   60.5   70.6   189.3   225.3   205.6   282.8   897.3
1999  114.9   43.0   67.9   70.1   62.4   76.1   21.5   99.2  104.5   79.1   47.7  117.5   228.4   200.4   196.8   231.3   903.8
2000   37.6   78.1   32.5  137.9   73.0   42.1   54.9   56.3  115.3  145.2  143.9  116.6   233.2   243.5   153.4   404.4  1033.6
2001   51.1   81.5   71.4   94.0   53.5   37.2   69.1   75.1   66.9  115.9   45.8   32.7   249.2   218.9   181.3   228.6   794.1
2002   66.4  117.0   37.6   45.4   74.7   46.4   93.5   62.9   30.3  126.4  115.3  110.2   216.1   157.6   202.8   272.0   926.0
