Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1959   68.1   11.4   37.0   61.4   14.5   43.2   51.9   16.2   13.9   54.1   99.8  112.9   173.0   112.9   111.2   167.7   584.3
1960  123.0   68.3   42.7   31.0   35.5   21.5  107.0   83.0   66.9  166.3  103.1   87.7   304.2   109.2   211.5   336.3   936.0
1961   98.6   44.9   20.3   68.7   39.8   40.1   75.9   78.8   56.5   93.7   44.5   74.3   231.2   128.8   194.8   194.8   736.2
1962   70.3   35.2   32.9   62.2   61.5   16.0   53.6   98.6   88.5   19.5   62.8   55.2   179.7   156.5   168.3   170.7   656.3
1963   45.5   38.2   65.3   55.3   40.7   83.2   48.0  116.2   54.8   42.9  126.8   31.0   138.9   161.3   247.5   224.5   748.0
1964   25.8   25.3   90.2   51.9   28.6   67.7   39.3   58.3   31.8   32.5   32.5   68.8    82.1   170.7   165.3    96.8   552.7
1965   76.8   28.6   57.5   66.1   56.6   50.9   81.1   66.4  135.6   31.6  132.6   97.2   174.2   180.2   198.4   299.8   880.9
1966   47.3  113.0   25.8   86.7   58.5   80.7   66.4  113.7   42.8   90.8   72.0   74.0   257.6   170.9   260.7   205.7   871.7
1967   39.2   72.9   43.1   42.6  128.7   38.4   62.0   82.2   66.0  121.0   80.4   50.3   186.1   214.5   182.5   267.5   826.8
1968   46.5   41.9   60.7   52.8   61.3   63.3  102.7   59.1  121.7   75.7   77.4   72.8   138.6   174.8   225.0   274.8   835.7
1969   75.8   66.8   75.5   67.6   87.4   72.5   53.7   48.6   51.6   17.4  127.4   66.4   215.3   230.5   174.8   196.4   810.6
1970   84.0   59.7   48.0   74.8   17.0   30.2   77.2   65.1   38.6   52.7  110.7   58.6   210.0   139.9   172.5   202.0   716.6
1971   65.8   24.9   62.3   51.5   43.3   63.2   44.8  117.5   20.1   41.4   76.1   30.2   149.3   157.0   225.6   137.6   641.1
1972   94.7   54.8   65.0   48.9   62.6   70.5   48.3   25.4   35.2   17.6   75.4   57.5   179.8   176.5   144.2   128.2   656.0
1973   34.0   24.0   15.4   66.4   67.5   56.9  102.7   60.7   61.6   47.4   28.1   51.1   115.5   149.3   220.3   137.1   615.9
1974   80.6   61.7   46.7   18.9   25.0   46.0   74.7   68.0   81.2  102.3   83.3   62.6   193.4    90.5   188.7   266.8   750.9
1975   74.8   24.0   63.5   65.4   49.8   28.2   61.0   55.3   66.9   27.3   50.6   46.3   161.4   178.7   144.5   144.8   613.1
1976   65.9   28.3   36.0   25.0   83.3   11.6   25.1   19.7  159.3  140.5   38.6   72.2   140.6   144.3    56.5   338.4   705.6
1977   96.6  101.5   59.9   44.5   51.4   77.3   19.6   63.8   29.1   48.0   86.8   70.6   270.3   155.8   160.7   163.9   749.2
1978   99.5   76.4   54.2   43.1   44.4   58.7   77.3   79.4   57.9   21.2   45.1  178.1   246.5   141.8   215.4   124.2   835.4
1979   61.9   48.3  120.1   49.0  110.7   33.3   32.6   87.3   36.9   65.6   77.7  123.7   288.3   279.7   153.2   180.3   847.1
1980   78.1   72.3   92.2   12.3   26.7  126.2   51.1  103.7   37.7  104.3   82.6   56.4   274.1   131.2   281.0   224.6   843.6
1981   40.8   48.4  125.4   71.7   59.9   37.7   56.1   43.1  105.6   94.0   61.0   58.5   145.5   257.0   136.9   260.6   802.3
1982   70.1   24.2   71.5   13.8   36.3  130.3   28.3   75.1   55.6   85.6   87.9   69.3   152.9   121.6   233.7   229.2   748.0
1983   61.6   46.3   60.3  100.3   98.9   34.8   38.0   25.9   79.8   58.2   39.3  106.9   177.2   259.6    98.7   177.3   750.4
1984  113.2   42.0   71.4   13.8   43.4   43.9   23.0   60.2  103.2   60.0  132.6   42.7   262.0   128.7   127.1   295.8   749.4
1985   79.3    8.1   66.6   62.7   71.8   62.5   80.0   96.3   53.4   32.4   80.4   85.1   130.2   201.1   238.8   166.2   778.6
1986   85.7   37.2   57.0   95.2   88.7   36.2   40.5  122.0   21.5   60.1   68.4  108.3   208.0   240.8   198.6   150.0   820.7
1987   42.8   47.8   84.2   61.4   42.7   95.7   74.5   82.6   58.9  116.1   63.1   48.0   199.0   188.3   252.7   238.1   817.7
1988  103.1   54.3   75.9   32.3   54.9   30.9  133.3   65.1   47.1   78.7   58.1   35.4   205.3   163.0   229.2   183.8   768.8
